"","subject","segment","session","hm_mean","hm_max","hm_mean_dvars","hm_max_dvars","thr","volume","log_volume","hm_mean_ten","hm_max_ten"
"423","sub0053","RS_A","D1",0.19471576402439,0.412603,36.9153140243902,46.4041,"46",36.368,3.59368926711019,1.9471576402439,4.12603
"424","sub0053","RS_B","D1",0.200108574772036,0.51328,36.691505775076,47.9859,"0",139,4.93447393313069,2.00108574772036,5.1328
"425","sub0053","RS_B","D1",0.200108574772036,0.51328,36.691505775076,47.9859,"23",84.592,4.43783969949309,2.00108574772036,5.1328
"426","sub0053","RS_B","D1",0.200108574772036,0.51328,36.691505775076,47.9859,"46",41.16,3.71746691096585,2.00108574772036,5.1328
"427","sub0053","RS_C","D1",0.208510203036437,0.849102,36.6327771255061,74.4556,"0",157.296,5.05812938062457,2.08510203036437,8.49102
"428","sub0053","RS_C","D1",0.208510203036437,0.849102,36.6327771255061,74.4556,"23",62.592,4.13663747441235,2.08510203036437,8.49102
"429","sub0053","RS_C","D1",0.208510203036437,0.849102,36.6327771255061,74.4556,"46",22.56,3.11617842662986,2.08510203036437,8.49102
"430","sub0053","RS_D","D1",0.21853478892261,0.886138,35.7409720789074,71.2586,"0",141.952,4.95548897228785,2.1853478892261,8.86138
"431","sub0053","RS_D","D1",0.21853478892261,0.886138,35.7409720789074,71.2586,"23",33.6,3.51452606696916,2.1853478892261,8.86138
"432","sub0053","RS_D","D1",0.21853478892261,0.886138,35.7409720789074,71.2586,"46",6.144,1.81547599584537,2.1853478892261,8.86138
"433","sub0053","RS_E","D1",0.222330030825243,0.929661,37.0558444174757,71.2739,"0",141.496,4.95227144813249,2.22330030825243,9.29661
"434","sub0053","RS_E","D1",0.222330030825243,0.929661,37.0558444174757,71.2739,"23",38.688,3.65552947443238,2.22330030825243,9.29661
"435","sub0053","RS_E","D1",0.222330030825243,0.929661,37.0558444174757,71.2739,"46",6.632,1.89190641783299,2.22330030825243,9.29661
"436","sub0055","RS_A","D1",0.129640803658537,0.34128,34.2016945121951,48.7033,"0",1.304,0.265436463504461,1.29640803658537,3.4128
"437","sub0055","RS_A","D1",0.129640803658537,0.34128,34.2016945121951,48.7033,"23",7.184,1.9718563309999,1.29640803658537,3.4128
"438","sub0055","RS_A","D1",0.129640803658537,0.34128,34.2016945121951,48.7033,"46",4.216,1.43888681123906,1.29640803658537,3.4128
"439","sub0055","RS_B","D1",0.122099469604863,0.375344,32.9059501519757,54.0804,"0",0,NA,1.22099469604863,3.75344
"440","sub0055","RS_B","D1",0.122099469604863,0.375344,32.9059501519757,54.0804,"23",1.072,0.0695260626486103,1.22099469604863,3.75344
"441","sub0055","RS_B","D1",0.122099469604863,0.375344,32.9059501519757,54.0804,"46",0.416,-0.877070018720874,1.22099469604863,3.75344
"442","sub0055","RS_C","D1",0.11772438111336,0.387665,32.9347775303644,54.3324,"0",0.664,-0.409473129505703,1.1772438111336,3.87665
"443","sub0055","RS_C","D1",0.11772438111336,0.387665,32.9347775303644,54.3324,"23",0.088,-2.43041846450393,1.1772438111336,3.87665
"444","sub0055","RS_C","D1",0.11772438111336,0.387665,32.9347775303644,54.3324,"46",0,NA,1.1772438111336,3.87665
"445","sub0055","RS_D","D1",0.125408230197269,0.500791,32.8146603945372,57.2078,"0",0.76,-0.27443684570176,1.25408230197269,5.00791
